,text,labels
22,ان تشرب قهوة مع صديقك اليهودي ثم تذهبان لزيارة صديقكما الملحد فتلقيان التحية على بايعة الورود الهندوسية فتجدان المسلم يمازح المسيحي و الشيعي يصلح ميذنة المسجد السني هل سيغضب الله لو فعلتم هذا هل سيغضب الله لو حذفتم من الحرب راء,0
23,اية الله العظمى جبران باسيل قدس الله سره ذكر ان امير قطر تخطاء الحصار,0
24,فليصمت ذلك الصوت الذى يخبرني دايما بان اكمل الطريق اليكى اشهد الله على ما فى قلبى فهو من زرع ذلك الحب به ما اريده الان هو راحة القلب فقط مهما كان ما قدرى اريد ان اشعر بالسلام و تتوقف كل حروب عقلى اريد السكن و السكينة اريد الرضا بما كتب الله فقط,0
25,فعلا انا عندي تصريح و البحرين اللي جنبنا يالله اروح لها عادي بكرة يتعودون قالوا على القيادة نفس الشيء و خابت ظنون المعارضين و اثبتوا البنات انهم كفو و التزموا بالقوانين المرورية اكثر من الشباب,0
26,صباح الخير اللهم ادفع عنا البلا والبراكين والزلازل وجميع الفتن ما ظهر منها وما بطن اللهم اني استودعك جميع المسلمين والمسلمات في هذه البلاد اللهم احفظنا وانت خير الحافظين القاسمي الاماراتي يسي للسلطنه,0
27,لتجنب الاصابه بمرض الكورونا تجنب الاماكن المزدحمه زي الشغل تجنب المشاوير الي مالهاش لازمه زي الشغل تجنب الاماكن المغلقه زي الشغل,0
28,اقول وش يقولون لكم ولا اسكت لان مالها داعي انا اذا جيت مسجد فيه عتيبي اروح اصلي بمسجد ثاني,0
29,بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,0
30,لابد ان يدرك الوالدان ضرورة التوازن في التربية بين الشدة واللين وتلبية الاحتياجات العاطفية الى جانب المادية كما يجب ان يظهر الخوف على الفتاة بصورة ايجابية فلا نشعرها بالتخوين او بقلة الثقة فيها بل ان قلة الثقة هي في الاخرين فتاة تايلاند,0
31,عااجل وضع بروتوكل علاج جديد لفيروس كورونا وزير الصحة الشروع في استخدام دواء جديد لفيروس كورونا في الجزاير وزير الصحة سنستخدم دواء مستورد لعلاج الحالات الموكدة بفيروس كورونا يا رب يا رب خليك في داركم وعينا يحمينا,0
32,مدير عام دايرة شهداء ضحايا الارهاب يتفقد اسر الشهداء والمصابين في محافظة ديالى,0
33,يا جماعه مزحه مزحه ترا الجنة مهي بيدي ويدكم بلا مثاليات الكل مقطع القصمان واهل جده هنا ما شوفت عاد الحمية في الردود,0
34,تعلموا انكليزي قبل ما ترجموا شو حكي جبران باسيل,0
35,الجزاير وزير الصحة سيصبح الحجر كليا لمحاربة كورونا في هذه الحالة بيتك حياتك البليدة الوريدة عمرها ماتذبال,0
36,يا محرم انت دخلك عيونك بس بتشوف بعين وحدة وينك من كل التعديات يلي ب حي السلم ومسكرين النهر,0
37,يناس اذا انحظرت تشغلونها وبس حظر ببجي في السعوديه,0
38,عيب ما بجوز هذا التخاطب لو سمحت نحنا اهل,0
39,الدنمارك تعتزم اعدام مليون حيوان منك لمنع تفشي فيروس كورونا,0
40,للاسف حزب الاخوان متغلغل في المجتمع الكويتي حتى بعض السلفيين الذين كانوا يحتسبون على السلف اصبحوا من الاخوان الامر يحتاج الي تحرك سلفي دعوى يفيق به المجتمع الكويتي قبل فوات الاوان الله المستعان,0
41,كن على يقين ان هناك شيء ينتظرك بعد الصبر ليبهرك وينسيك مرارة الالم ذاك وعد ربي وبشر الصابرين كميل المنامي اطلقوا سجناء البحرين فيروس كورونا البحرين,0
42,هولاء اسمهم المزايدون على لجين الهذلول ويريدون الطلوع على اكتافها تقدر تقول هذا الكلام بينها وبين اختها بدون تغريدة في تويترلوكانت تحبهافعلا كل مايفعلونه يثبت لنا ثبات الحكومة وحرية الراي ويوكد لناايضاضخامة حجم الموامرة التي تزيدناوفاءاوحبا للوطن السعودية العظمى,0
43,انس ازرق عادي يعمل انترفيو مع معراج اورال بس بينطعج لما حدا يكتب كم بوست فيسبوك متضامن مع ضرار خطاب,0
44,لتجنب الاصابة فيروس كورونا عليك بالتالي تجنب الاماكن المزدحمة مثل الدوام تجنب المشاوير يلي مالها داعي مثل الدوام تجنب الاماكن المغلقة مثل الدوام,0
45,تدرين اني احسب القصمان و اهل الرياض و الزلفي ذي مدري اش اسمها كلهم جماعة وحدة,0
46,وفاة المدرب علي هادي بعد اصابته بفيروس كورونا انا لله وانا اليه راجعون نسال الله تعالى ان يتغمده بواسع رحمته وان يلهم اهله وعايلته الصبر والسلوان كورونا,0
47,نحتاج الى دولة جديدة,0
48,يا عمي انا مستعدة وصلو ع حسابي بس يحل عننا,0
49,ولك خلص بقى خلص والله ارحم حالك هيدي الصفات صفات معلمك القتل والاجرام والابادة الجماعية استر على حالك ليستر الله عليك يا زلمي,0
50,نتقدم بالتعازي الى جميع الاخوه الاحبه من الطايفة المسيحية بذكرى وفاة السيدة الطاهرة مريم العذراء والدة نبي الله عيسى التي يصادف اليوم وفاته صفر او,0
51,يستاهلوا,0
52,كلماتك ما بطمن الله يحمي اللواء عثمان و يرحم وسام الحسن القتله بعدن خارج السجن,0
53,وقد عبر عن ذلك بشكل علني ومباشر وزير الخارجية جبران باسيل في كلمته التي حصدت اجماعا عربيا في القمة العربية التنموية,0
54,يا ما في ناس مش رح تنام,0
55,اتسايل ما الذي اصاب الجزايريين و ما هي الصدمة التي تلقتها قلوبهم حتى اصبحو لا يخافون شيي فالعالم كله خايف من فيروس كورونا الا الجزاير تضحك عليه هل حقا هذا الشعب عانى في حياته لدرجة انه يرى الموت و الحياة وجهان لعملة واحدة اريد اجابات كورونا,0
56,اما البدو ولو اني مو بدوي واتشرف فيهم البدو مادة العرب والاسلام وصل الاسلام للصين من البدو والبدو امارات وجماجم العرب من البدو بنو تميم جمجمة من جماجم العرب وقبايل ربيعة عنزة وغيرهم وقبايل هوازن وغطفان منهم المطران وعتيبة وغيرهم هذول البدو ونعم بالبدو,0
57,الشيخ محمد بن سافر في ذمة الله انا لله وانا اليه راجعون رحم الله الشيخ محمد سافر المعلوي واسكنه فسيح جناته ويرحم جميع موتى المسلمين وعظم الله اجرنا والهم اهله وذويه الصبر والسلوان انا ادعم تطبيق ابشر,0
58,فايزر و بايونتيك تعلنان نجاح لقاحهما بنسبة في علاج كورونا,0
59,زواج مبتعث موقع زواج للاخوة المبتعثون عدد كبير من الاعضاء ونحن هنا لخدمتكم انفوجرافيك جامعة حايل كوريا الجنوبية,0
60,روسيا مستعدة للبدا في انتاج لقاح كورونا في الجزاير,0
61,انا هه الخصم هه هه كورونا هه,0
62,شكرا للمعلومة القيمة يعني المطلوب للقضاء ما عم يطلع من الجاهلية,0
63,هروب الفتيات مع داود هل دقت الحلقة على وتركم الاكثر حساسية ماهوعذركم الان اعلام خارجي ام فتيات ممولات لتشويه صورة الشعب المقدس حسب اقوالكم المعتادة واجهوا اخطاوكم الظلم ظلمات يوم القيامة وبالدنيا المعاملة الحسنة قوانين اكثرانصافا الوعي الحل,0
64,عاجل وزارة الصحة الجزايرية حالة وفاة جديدة بفيروس كورونا والعدد الكلي للاصابات يصل الى الجزاير معا نعزل كورونا,0
65,و علي فكرة اي انسان عنصري هو انسان احمق و غبي و مهما كانت ديانته او جنسيته العالم يحترم اصحاب الافكار السوريين اضافوا لمصر الكثير و هم من اسسوا المسرح و جريدة الاهرام و مصانع الحلوي في القرن من يعمم خطا شخص علي شعب هو متخلف كمان هذا السوري لم تصدر عليه احكام و هو بري,0
66,اما الجماع فكما اجبتك سابقا الصيام في الشريعة التي كتبت على الذين من قبلنا تحديدا عند المسيحيين ويا حبذا تتاكد من كلامي وتسال اي صديق لك مسيحي كانوا يمتنعون عن الجماع طيلة فترة الصيام يوما تختانون انفسكم يسمونها بالعامية قطاعه لذلك قال لهم الله احل لكم,0
67,لم يسرق المال العام يوما مثل معلمكم وديعة روتشلد,0
68,بلاغ ضد معتوه يستهزي ب مراكز الابحاث في المملكة التي تعمل على مدار الساعة لانتاج علاج فعال ل فيروس كورونا المستجد ويصف العلاج باقبح المفردات التي لا تنم دناءة نفسه المعرف الموقع مكة المكرمة كلنا مسوول,0
69,قريبا ستختفي الكمامة و تفتح المساجد و محلاها ابتسامة ايها الواثقون بالله ابشرو خيرا واستغفروا و قولوا يا رب فيروس كورونا الجزاير,0
70,العالم يبحث لايجاد لقاح للفيروس و الجزاير تبحث عن حلول لاقناع بعض الفية من الشعب المشككين بوجود الفيروس يفعل الجاهل بنفسه ما لا يفعله العدو بعدوه,0
71,الجانب المشرق لفايروس كورونا نسبة وفيات حوادث السير بمعدل دواوين وسهر ع الفاضي انتهى شوارع نظيفة دون حوادث لا صرف البنات على التسوق قعدة قهاوي اختفت اجتماع شمل الاسرة سيارة للضروره مستشفيات متاهبة لكل طاري كالمفروض اعمال خيرية منتشرة تضامن شعبي واسع جدا,0
72,البربر نوع من انواع النسيج البشري مثله مثل العرب والترك وغيرهم لايكون تفكر كلمة بربر عيب ونقص والبربر لهم فضل كبير في انتشار الاسلام,0
73,عاملين ايه في بلدكم الي مليانه كورونا دي جوازات خطوبات ارتباطات كتشيير اوي ومش خايفين تتعدوا هه ما تسمعونا زغوطة احنا الي بتكون حرارتها طالعة بعرس بحكولها قومي ارقصي شوي بلكي بتفكي,0
74,اقترح جريفيث ان تدار اليمن بواسطة حكومة فيدرالية على ان يتم تقسيم البلاد جغرافيا الى ثلاث مناطق منطقة شمالية تضم محافظات وعاصمتها صنعاء ومنطقة وسطى تضم محافظات وعاصمتها تعز ومنطقة جنوبية تضم محافظات وعاصمتها عدن هذا مخططهم منذ الوهلة الاولى من اشتعال شرارة الحرب,0
75,لقاء خاص رييس مجلس الامة الكويتي مرزوق بن علي الغانم العلاقة بين السعودية والكويت علاقة خاصة ومميزة ومواقف المملكة التاريخية مع الكويت لن تنسى وستعرفها الاجيال القادمة العالم في قلب المملكة,0
76,صح للحقد ولا البغض راح يوصلوا لنتيجة يا ريت بيستحي على كبروا عيب بالنهاية اهلا وسهلا ب,0
77,اشترت وزارة الخارجية عالقليلة يقولولنا مرسي,0
78,بشد الحاجه الى المعدل التراكمي اولا على صعيد المحلي مرينا بضروف الى وهيه المضاهرات ونجبرنا على ترك الدوام بسبب غلق بعض المدارس و محافظات لجنوب ومن ثم على صعيد عالمي كورونا نحن بامس الحاجه الى معدل التراكمي واعتبارها سنه استثناييه ومراعات نفسيتنا سيدي الكاظمي مطلبنا التراكمي,0
79,المفروض مسيحيه الاردن كلهم يعلنوا اسلامهم فعاداتهم واحده واخلاقهم عاليه وهم ما تاثروا باي نعرات طايفية لفهمهم الدين الاسلامي ومعاشاتهم مع الاردنيين من القدم سواء في الجنوب او الشمال اللهم اهدنا واهديم للحق,0
80,اللهم اغفر لي خطييتي وجهلي واسرافي في امري وماانت اعلم به مني اللهم اغفرلي جدي وهزلي وخطيي وعمدي وكل ذلك عندي اللهم اغفر لي ما قدمت وما اخرت وما اسررت وما اعلنت وما انت اعلم به مني انت المقدم وانت الموخر وانت على كل شيء قدير كورونا وزارة التعليم الصين,0
81,هدا الشعب اللي طرد الاسراييلي لازم يصحى يوم ويطرد اصحاب المواكب لبنان كان درة المنطقة,0
82,مجلس الوزراء يوافق على نظام الاقامة المميزة خطوة ممتازة وتقضي على جريمة التستر,0
83,طيب الحين يقصدون المصري خالكم ايش دخله,0
84,وش اسم امك تخسي عيب طيب لو تزوجت وش بتسمي بنتك بسميها نورة على اسم الوالدة اللهم اشف مرضانا ومرضى المسلمين,0
85,رهف القنون انا اعيش حرة وفي نعيم اذا احد اخطاء علي في هذه البلد اثق تماما بمساعدتي من حكام وسلطات بلادي حكام الانسانية في مملكة الانسانية مو محتاجه لبلدان لاتملك ربع مايملكون حفظهم الله,0
86,خايفة يجيبوا لقاح الكورونا وما يكفينا يقوموا يزيدوه مي و يخضوا العلبة,0
87,احد الشعراء دعته امراة الى الالحاد فقال و هو يتاملها ومليحة ترمي السهام سديدة بالطرف اما الفكر غير سديد تدعو الى الالحاد في كلماتها و جمالها يدعو الى التوحيد,0
88,شعبنا مخدر لهيك بدنا شعب جديد,0
89,هي وقفت على زعابيط التويتر في زعابيط عملوهم وزراء ونواب,0
90,المصريين لسان من يومهم بس العراقيين شي كبير يا عمري,0
91,لا بس الوطن بدو تكنيس من ل متلك,0
92,لما يطلع زعيم عربي مسيحي اللي هوي جبران باسيل و يحكي عن تعدي اسراييل على لبنان على,0
93,الرييس تبون ان الله والدولة مع سكان البليدة و سننتصر على الوباء,0
94,بعد مقابلة الوزير جبران باسيل على تي في,0
95,الحمدلله على كل حال قبل ايام كانت قيادات المجلس الانتقالي الجنوبي تقول بانها شريك فعال مع دول التحالف في الحرب على مليشيات الحوثي الايراني وكان الرد من قبل مليشيات حزم الاصلاح بالنفي وانكار ذالك اما الان فان قيادات المجلس الانتقالي الجنوبي شريك فعال مع الولايات المتحده الامريكيه,0
96,ياعرق شمر شمر عرق مايتذمر,0
97,الحل عند جبران باسيل بما انه صاير عنده كل الحلول,0
98,نناشد وانا اناشدكم المساعدة اللهم من نشرها او سدد منها فاجعل له من كل هم فرجا ومن كل ضيق مخرجا و ارزقه من حيث لايحتسب فزعتكم يا اهل الخير فزعتكم لو رتويت رقم الفاتوره متبقي الف و ريال يشهد الله كورونا قطعت رزقي من المشاوير وحالتي صعبه,0
99,في كتير نسوان عالفيسبوك احلى من ولادن هل هالشي تابع لنظرية التطور عند داروين او انو لازم نعمل عمليات تجميل للولاد كمان ما بعرف,0
100,ارحب بانشاء كنيسة في السعودية واتمنى ان يعيش السني والشيعي والمسيحي والاسماعيلي وغيرهم بامان في السعودية الجديدة كما اتمنى اعلان التحول نحو الدستور واجراء انتخابات واطلاق معتقلي الراي والسماح بحرية التعبير واتمنى ذلك لكافة الدول العربية وليعيش العرب بسلام,0
101,اغلب شعب البحرين اوضاعهم المالية متدنية والتحسن المالي في البحرين سببه السواح السعوديين والجسر قرب لهم المسافة اعرف ناس اسبوعيا يذهبون البحرين,0
102,اهلا وسهلا بامير القمة امير قطر,0
103,تعليم سراة عبيدة كورونا المستجد الملف الاعلامي بوزارة التعليم طرق الوقاية من فيروس كورونا لابد من تجنب الزحام بقدر الامكان البقاء بالمنزل وعدم الخروج الا ل حاجة غسل وتعقيم اليدين جيدا عدم لمس الوجه او العين او الفم لتجنب الاصابه بالفيروس حمانا الله واياكم,0
104,يارب هذا صباحك قد اسفر وليلك قد ادبر وعبدك قد استغفر فاكتب له رحمتك اللهم في هذا الصباح احفظنا من شتات الامر ومس الضر وضيق الصدر وتقلب الدهر اسال الله ان يلبسكم لباس الصحة والعافيه وان يغفر لي ولكم ولوالدينا وجميع المسلمين صباح الخير,0
105,له يا غالي نزعتا معنا معقوول ولا كاتب عدل علوي ولا وزير وحتى سرقو مننا واحد من مدراء عامين حتى ح,0
106,خلونا نكون صريحين الناس ماتلتزم بتعليمات الوقاية من جهنم تبونهم يلتزمون بتعليمات الوقاية من كورونا الكويت كورونا,0
107,مافي احلا من المصاري مهيك,0
108,علاج كورونا اللهم اني اعوذ بك من البرص والجنون والجذام ومن سيء الاسقام بسم الله الذي لا يضر مع اسمه شيء في السماء ولا في الارض وهو السميع العليم,0
109,المطيري,0
110,مسالة وقت و كلو بينتسا الادلة بتختفي اوبتبقى بالمحاكم القضية بعد شي اربعين سنة بتمرجحو بالموضوع لاغراض,0
111,تقبرني جبران باسيل قبل ما تنسينا زعامة كميل شمعون وانجازاتو جيب الكهرباء يلي وعدتنا فيها بال وبس تخلص,0
112,اي يارب يروح الكورونا,0
113,لك وهاب حبيبي في دكتور شاطر اذا بتحب ببعتلك العنوان بعالجك والله انا بس كرمال ما تبليش تلبوس سوبر مان وتكسر ش,0
114,الكورونا تجمع العلماء المسلمين يطمين انه بصدد الاعلان عن لقاح يقضي على كورونا لا داعي للهلع سنموت بعد قليل,0
115,ياحبيبي حضر الحجاز هم القبايل الذين يسكنون بيوت الطين والذين لايتنقلون ثابتين في مكانهم فاذا كنت منهم انت حضري اما بدو الحجاز الذين يتنقلون فالحجاز بحث عن الماء والمرعى اذا كنت منهم انت بدوي اما اذا ولا وحده انت اعجمي وافد للحجاز ولا لك فيها ناقه ولا جمل,0
116,خبر رسمي توسيع اجراءات الحجر الجزيي مساءا الى صباحا الى ولايات جديدة الولايات المعنية باتنة تيزي وزو سطيف قسنطينة المدية وهران بومرداس الوادي و تيبازة هيية مكافحة الاشاعات الالكترونية كورونا,0
117,خلونا نوحد الدعاء لعلي ربي يستجيب تحصنت بذي العرش والجبروت واعتصمت برب الملكوت وتوكلت علي الحي اللذي لا يموت اللهم اصرف عنا هذا الوباء وقنا شر الداء ونجنا من الطعن والطاعون والبلاء بلطفك ي خبير انك علي كل شي قدير,0
118,يسعد صباحك,0
119,الجزاير تمديد الحجر الصحي لمدة يوما اضافية في اطار مجابهة وباء فيروس كورونا,0
120,وانت من اي صفة يا وهاب,0
121,اللهم يارب في هذا اليوم المبارك يوم الجمعة نسالك باسمك الاعظم ان ترفع عنا هذا الوباء وان تشفي مرضانا ومرضي المسلمين وان تشفي رءيسنا السيد تبون,0
122,منظمة الصحة العالمية من الخطا الاعتقاد ان فيروس كورونا سيختفي خلال الصيف كما لو كان مجرد انفلونزا,0
123,استاذ ويام انت الشرف والكرامه ويلي ماعجبو ينطح الحيط لانو ماعندو اي حجه عليك,0
124,لا ادري كيف سمح لبنان لنفسه بقبول مثل هذا المسخ ان يكون حاضرا في القمة لبنان التنوع والحضارة والفن,0
125,حالات كورونا جديدة انتهت رحلتنا علي كوكب الارض سنموت بعد قليل,0
126,كل سنه و انتى طيبة يا حلوة عيد ميلاد سعيد معلش جت متاخرة امنياتى ليكى السنة الجاية تكونى فى مكان بيشجع ع الانبساط و الحياة,0
127,صاروخ حراري من المقاومه الجنوبيه يدمر جيش الشرعية الكرتوني,0
128,كان شيخ الاسلام محمد بن عبدالوهاب ينشد كثيرا باي لسان اشكر الله انه لذو نعمة قد اعجزت كل شاكر حباني بالاسلام فضلا ونعمة علي وب القران نور البصاير وبالنعمة العظمى اعتقاد ابن حنبل عليه اعتقادي يوم كشف السراير,0
129,وضعت كورونا الحواجز علي الارض وفي كل اتجاه ولكنها لن تضع حواجز بيننا وبين السماءفسيروا الى الله تسير اليكم حوايجكم تباعافخفف عناثقل هذه الايام وارزقنا قوة الصبر واشرح صدورنا وانزع منها ما استثقلته الايام ولاتبتلينا فيما لا نستطيع عليه صبرا يارب ابواب جودك واسعه فتقبل منا دعاينا,0
130,فقد نقلت وكالة الانباء القطرية عن محمد بن عبد الرحمن الثاني ان بلاده ستشتري سندات خزينة لبنانية,0
131,الاجانب وخالصين المهم اسيا التاخير عادي اذا نهايته منتج مميز,0
132,يا استاذ وهاب هل يعقل هذاالتزلف للسعودية والامارات هل ننسى دعمهم للارهاب بنفس مستوى قطر نرجوكم كفى تزلفا,0
133,عاجل وسايل اعلام جزايرية الرييس عبد المجيد تبون في حجر صحي طوعي بعد ظهور اعراض كورونا على عدد من موظفي الرياسة,0
134,الرييس البرازيلي يصدم شعبه بتعليقات حول كورونا لا فايدة من الهروب سنموت جميعا في النهاية الشرقية نيوز,0
135,الجزاير تخفيض اجراءات الحجر المتخذة لمواجهة فيروس كورونا وتقليص عدد الولايات الخاضعة لحظر تجول واعادة فتح دور الحضانة والمكتبات والمتاحف,0
136,ياخالق المعجزات و يارب المستحيلات سبحانك انت القادر و نحن العاجزين اللهم اشفي كل مرض و انثر العافيه في جسدهم يارب يا من تعيد للمريض صحته وتستجيب دعاء البايس اشفهم انت الشافي لا شفاء الا شفاوك شفاء لايغادر سقما واشف مرضى المسلمين من كورونا جمعه مباركه دعوه مستجابه,0
137,الشرق عاجل دخول الرييس الجزايري عبد المجيد تبون في الحجر الصحي بعد ظهور اعراض كورونا على عدد من موظفي الرياسة والحكومة,0
138,حسا السنه حسا الشيعه حسا الحضران والبدوان تساوينا بمحبتها وساوتنا اراضيها عساني يالحسا فدوة فديت الداار والسكان من اول بيت لاخر بيت بقراها وحواريها مكانك يالحسا عالي وقدرك فوق مهما كان ومن حاول يقارن بك بيخسر في تواليها وسلامتكم,0
139,كورونا كوفيد ضعيف بالرغم من سرعة انتشاره فقط اتبع اسباب السلامة وباذن الله تسلم غسل اليدين والنظافة الشخصية وتعقيم الادوات عدم مخالطة المرضى او المصابين باعراض الزكام او البرد والتهابات الصدر تجنب اماكن الزحام وتجنب زيارة المرضى المنومين لغير ضرورة الاذكار,0
140,ندايي الى فخامة الرييس عبد المجيد تبون نحن ثلاثة ريساء مصالح موسسة المذابح والمسمكة لولاية الجزاير قدمنا شكوى رسمية للنايب العام ضد فساد مدير الموسسة تم فصلنا نهاييا من العمل منذ سنة ونحن نعيش وباء الفقر اخطر من هاذا الوباء الذي ابتلى به الله العالم رجاينا بالله ثم عليكم,0
141,اللهم احفظ بلادنا وجميع اوطان المسلمين من الوباء والامراض اللهم احفظنا بحفظك واحرسنا بعينك التي لاتنام اللهم اشف المصابين وعافهم من فيروس كورونا وارحم الموتى برحمتك التي وسعت كل شيء انك سميع مجيب الدعاء وزارة الصحة,0
142,انا لله وانا اليه راجعون اعزي نفسي وكل الزملاء بوفاة الاخ د طارق حسين مخيمر من اطباء الانف والاذن والحنجرة في م زين متاثرا بمضاعفات فيروس كورونا المستجد رحمه الله والهم اهله ومحبيه الصبر والسلوان الله يرحمه,0
143,البيوت الحمرا بل المرجة والجامع اشرف واطهر منك,0
144,خلونا واقعين الناس ما تلتزم بتعليمات الوقاية من جهنم تبونهم يلتزمون بالوقاية من كورونا,0
145,تاريخ المسيحية,0
146,اصدقايي الاكراد كذلك اعرفهم وعوايلهم وحرصهم على الدين و اخواتنا من بناتهم ونسايهم احتشام وصلاة وصوم لم اعهد ان رايت منهن من تصافح عربيا او كرديا ليس من محارمها,0
147,قبلة تنطح قبلة غرد كانك فواز اللعبون,0
148,يا لطيف شو هالهضامة عم تشرشر هه,0
149,لو في قضاء نزيه وما في سلاح متفلت كنت انتي واشكالك وراء القضبان,0
150,المدرب القادم للزمالك يعمل كمدير فنى و جنسيته اجنبى,0
151,اللي عجبتني في الكورونا الحراميه وصحاب المال الكبار ما يقدروش يعالجو انفسهك في الخارج يا نعيشوا مع بعضنا يا نموتو مع بعضنا انها العدالة الكورونية,0
152,يا فهمان يا مقاوم حرر القدس وشو بدك بل الخزعبلات حرر بلادك وشو بدك بغيرك ونحنا معك انسى السنة والشيعة ساند حماس وفتح ولا فتح خزعبلات كمان ونقطة ع السطر,0
153,الدنمارك تقرر اعدام مليون حيوان مينك بعد تفشي سلالة جديدة ل فيروس كورونا فيها السلالة انتقلت للانسان و تسببت باصابة شخص السلالة الجديدة لا يتمكن جسم الانسان من بناء اجسام طبيعية مضادة لها,0
154,في هذي المعركة الفاصلة للجنوب وعلا ارض شبوة العز والشموخ علا كل قبايل الجنوب اعلان البراءة من كل خاين ودمه حلال وكل جنوبي يقع في الاسر يتم اعدامه ولا تقبل له شفاعه ولا رحمه الانه خاين الوطن والشعب,0
155,تتوه بنا سفن الحياة ثم لا نجد لانفسنا شاطيا نسعد على ضفافه غير الايمان بالخالق سبحانه امنت بالله ربا لا شريك له,0
156,انتقلت لها العدوى عن طريق احد الحراس اصابة انثى نمر تدعى نادية في حديقة حيوان في نيويورك بفيروس كورونا,0
157,كلمات رايعة جدا,0
158,شجاعة يفتقد اليها الكثير من المسلمين,0
159,اراضي الكنيسة والوقف المسيحي في فلسطين هي اراض فلسطينية خالصة لا يحق لاي كان التصرف بها وتسريبها للاحتلال,0
160,نصايح مهمة لتجنب الاصابة بفيروس كورونا المرشدة الصحية نجية الحجوري,0
161,العوده بعد كورونا هل ستعود الحياة كما كانت قبل كورونا,0
162,فرحة الميت لاتصدق عندما يصله دعاء من اهل الدنيا اللهم ارحم موتانا وموتى المسلمين اللهم طيب مضاجعهم وانس وحشتهم واجعل قبورهم رطبة بماء الجنة,0
163,بشرفك شو نوع الحشيش يلي عم تدخنو شكلو ممتاز,0
164,المستودع مهبل بكل الي اعرفهم يلعبونها مره تكنسلت طلع بسفره بسبب اخواني وهالمستودع,0
165,عماد عثمان مفكر لبنان كوريدور بيتو,0
166,بالتاكيد جبران باسيل سيجعل المسيحين ينسون شيء واعتقد سيكون الحليب الذي رضعوه,0
167,اللهم بشرنا بزوال هذا الوباء ورفع عنا هذا البلاء وطهر الارض منه واشف مرضانا ومرضى المسلمين والعالم اجمعين انك الغفور الرحيم اللهم قلت وقولك الحق وما كان الله معذبهم وهم يستغفرون فاللهم نستغفرك ونتوب اليك من جميع الذنوب فيروس كورونا الجديد,0
